Profiled Data Type;Concentrations ( mM );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Export Date;Thu Aug 03 15:46:49 WEST 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Acetate;Alanine;Arginine;Aspartate;Benzoate;Choline;Creatine;Cysteine;Cytidine;Ethanol;Formate;Glutamate;Glutamine;Glutathione;Glycerol;Glycine;Guanosine;Hypoxanthine;Inosine;Isoleucine;Lactate;Leucine;Lysine;Methanol;Methionine;Nicotinurate;O-Phosphocholine;Phenylalanine;Proline;Pyroglutamate;Pyruvate;Serine;Succinate;Threonine;Tryptophan;Tyrosine;UDP-N-Acetylglucosamine;Uracil;Uridine;Valine
IL_A549_17_aq;0.0307;0.0485;0.0107;0.0411;0.0094;0.018;0.0042;;;;0.404;0.2611;;0.0072;0.0464;0.1406;;0.0066;0.0127;0.0218;0.3847;0.0247;0.0231;;0.0073;0.0079;0.0288;0.0176;0.0196;0.0253;;0.0193;0.0125;0.0223;;0.0173;;0.0078;0.0077;0.0268
IL_A549_18_aq;0.3111;0.2118;0.0328;0.1147;;0.0532;0.0377;0.077;;0.0091;0.4004;0.7993;0.0728;0.0264;0.1488;0.496;;0.0258;0.0663;0.0788;0.4286;0.092;0.0716;0.0016;0.0264;0.019;0.0538;0.0624;0.0781;0.1715;0.0133;0.0657;0.0342;0.1465;;0.062;;0.0239;0.038;0.0992
IL_A549_401_aq;0.0844;0.0275;0.0162;0.0129;;0.0181;0.0009;0.002;;;0.5358;0.0615;;;0.0321;0.0591;;0.0241;0.0015;0.0094;0.0692;0.0133;0.0158;0.0049;0.0049;0.006;0.0063;0.0106;0.0133;0.006;0.0032;0.0337;0.0012;0.0179;;0.0098;;0.0133;0.0098;0.0159
IL_A549_301_aq;0.1511;0.0682;0.0302;0.0423;;0.0419;0.0051;0.0036;;;0.6289;0.2275;0.01;;0.0625;0.2297;;0.0745;0.0023;0.0261;0.2175;0.0459;0.036;;0.0161;0.015;0.0229;0.0319;0.0337;0.0174;0.0023;0.1204;0.0051;0.0611;;0.0286;;0.0334;0.0395;0.0466
IL_H292_17_aq;0.0283;0.0166;0.0076;0.0215;0.0114;0.0077;0.0013;;0.0018;0.0059;0.4415;0.0529;0.0033;0.0081;0.0259;0.0069;0.003;0.0022;0.0051;0.0084;0.0959;0.0104;0.0121;;0.0035;;0.0038;0.0064;0.009;0.0141;0.0018;0.0052;0.0024;0.0105;;0.0055;;0.0025;0.0062;0.0095
IL_H292_18_aq;0.0535;0.033;0.0074;0.0363;0.0029;0.0079;0.0022;;0.004;0.0059;0.3792;0.1321;;0.0089;0.046;0.0228;0.0033;0.0049;0.0173;0.0159;0.0975;0.0198;0.0168;0.0018;0.0063;;0.0036;0.0122;0.0156;0.0199;;0.0134;0.0043;0.031;;0.0101;0.0043;0.0036;0.0092;0.0172
IL_H292_301_aq;0.141;0.0325;0.0185;0.0278;;0.0056;0.0026;;0.0086;0.0134;0.1911;0.0422;0.0041;0.013;0.0626;0.0507;0.0039;0.0109;0.008;0.0145;0.0512;0.0229;0.0208;0.0116;0.0103;;0.0023;0.0132;0.0181;0.007;0.0022;0.0225;0.0009;0.0335;;0.013;;0.0121;0.0089;0.0204
IL_H292_401_aq;0.0303;0.0588;0.0281;0.0683;;0.0092;0.0048;;0.0163;;0.0192;0.1077;;0.0175;0.0618;0.086;0.0088;0.0254;0.0174;0.0235;0.1054;0.0355;0.0336;;0.0178;;0.004;0.0236;0.0323;0.0083;0.0045;0.0495;0.0019;0.0525;;0.0221;;0.0226;0.009;0.0342
IL_PC9_17_aq;0.0333;0.0838;;0.0282;0.0298;0.0132;0.0033;;;;0.4904;0.0738;0.01;0.0556;0.0666;0.0644;0.0046;0.0057;0.024;0.0288;0.3399;0.0381;0.0361;;0.0103;;0.035;0.0215;;0.0185;0.0006;0.0205;0.0056;0.0418;;0.0185;0.0183;0.0076;0.0174;0.0327
IL_PC9_18_aq;0.0659;0.0649;;0.0279;;0.0186;0.0033;;;0.0422;0.4802;0.0579;0.0055;0.0324;0.0561;0.0561;0.0051;0.0083;0.0278;0.0236;0.1649;0.0228;0.0208;;0.0061;;0.032;0.013;;0.0378;0.0005;0.0171;0.0054;0.0335;;0.0115;0.0138;0.0092;0.0119;0.0231
